Datum;BundeslandID;Name;BestaetigteFaelleBundeslaender;Todesfaelle;Genesen;Hospitalisierung;Intensivstation;Testungen;TestungenPCR;TestungenAntigen
2021-03-04T09:30:00+01:00;10;Österreich;467646;8652;437202;1425;302;15864120;5557591;10306529
2021-03-05T09:30:00+01:00;1;Burgenland;13063;241;11934;59;13;677110;158537;518573
2021-03-05T09:30:00+01:00;2;Kärnten;29945;693;27779;100;15;710375;222676;487699
2021-03-05T09:30:00+01:00;3;Niederösterreich;76598;1372;69422;362;89;3631722;1175337;2456385
2021-03-05T09:30:00+01:00;4;Oberösterreich;87776;1522;83559;120;24;2368282;554878;1813404
2021-03-05T09:30:00+01:00;5;Salzburg;38095;498;35801;74;14;914767;280410;634357
2021-03-05T09:30:00+01:00;6;Steiermark;57036;1771;52461;198;38;1929023;512435;1416588
2021-03-05T09:30:00+01:00;7;Tirol;48670;581;46721;89;22;1587729;594508;993221
2021-03-05T09:30:00+01:00;8;Vorarlberg;24065;276;23319;27;4;882629;302984;579645
2021-03-05T09:30:00+01:00;9;Wien;95066;1715;88105;392;107;3421978;1808879;1613099
2021-03-05T09:30:00+01:00;10;Österreich;470314;8669;439101;1421;326;16123615;5610644;10512971
2021-03-06T09:30:00+01:00;1;Burgenland;13155;242;12010;54;14;692887;159511;533376
2021-03-06T09:30:00+01:00;2;Kärnten;30104;697;27926;96;15;711306;223558;487748
2021-03-06T09:30:00+01:00;3;Niederösterreich;77155;1377;70009;368;87;3693241;1186373;2506868
2021-03-06T09:30:00+01:00;4;Oberösterreich;88125;1522;83875;135;23;2407310;556843;1850467
2021-03-06T09:30:00+01:00;5;Salzburg;38318;501;35931;81;13;931315;281493;649822
2021-03-06T09:30:00+01:00;6;Steiermark;57508;1775;52788;212;36;1966099;517914;1448185
