ObjectId,AdmUnitId,BundeslandId,AnzFall,AnzTodesfall,AnzFallNeu,AnzTodesfallNeu,AnzFall7T,AnzGenesen,AnzGenesenNeu,AnzAktiv,AnzAktivNeu,Inz7T
114,8216,8,9353,177,41,0,290,8600,0,500,0,125.3
115,8221,8,4925,57,13,0,102,4600,0,200,0,63.2
116,8222,8,15491,288,29,0,425,13300,100,1900,0,136.8
117,8225,8,5979,133,46,0,242,5400,0,400,0,168.5
118,8226,8,21451,384,87,5,618,19900,100,1100,0,112.7
119,8231,8,6995,174,16,0,219,6000,0,800,0,173.9
120,8235,8,7766,167,27,0,273,7000,0,600,0,171.5
121,8236,8,8958,235,24,0,310,7500,0,1200,0,155.3
122,8237,8,4973,150,0,0,135,4500,0,300,0,114.2
123,8311,8,7082,148,44,0,210,6600,0,400,0,90.8
124,8315,8,8077,176,33,0,149,7600,0,300,0,56.5
125,8316,8,5941,156,19,0,107,5500,0,300,0,64.3
126,8317,8,18113,537,72,0,453,16400,100,1200,0,105.1
127,8325,8,7034,153,42,0,197,6400,0,400,0,140.8
128,8326,8,9045,196,41,0,518,8000,100,900,0,243.8
129,8327,8,6956,137,29,0,266,6200,0,600,0,189
130,8335,8,10919,276,15,0,234,9800,0,900,0,81.7
131,8336,8,9334,285,34,0,177,8700,0,300,0,77.4
132,8337,8,6988,204,26,0,258,6400,0,400,0,150.9
133,8415,8,12839,255,62,0,413,11800,100,800,0,143.9
134,8416,8,8793,172,58,0,318,8000,0,600,0,139.1
135,8417,8,8222,164,71,0,475,7300,100,700,0,250.8
136,8421,8,5319,74,21,0,243,4200,0,1000,0,191.7
137,8425,8,8168,173,32,0,323,6700,0,1300,0,163.9
138,8426,8,8044,162,56,1,389,7200,0,700,0,193.3
139,9179,9,9387,134,34,0,217,8700,0,500,0,98.9
140,8435,8,7273,150,47,0,294,6600,100,500,0,135.2
141,8436,8,10138,128,79,0,433,9100,100,900,0,151.7
142,8437,8,5201,79,22,1,168,4800,0,400,0,128.4
143,9161,9,5723,101,31,1,144,5300,0,300,0,104.8
144,9162,9,69912,1200,164,2,1354,61400,300,7300,-100,91.2
145,9163,9,3788,59,20,0,105,3600,0,200,0,165.2
146,9171,9,5800,207,25,1,173,5200,0,400,0,155.1
147,9172,9,5618,99,8,0,62,5400,0,100,0,58.5
148,9173,9,4812,73,21,0,109,4500,0,200,0,85.2
149,9174,9,7975,136,16,0,153,7500,0,300,0,98.8
150,9175,9,6101,175,24,0,167,5600,0,300,0,116.3
151,9176,9,4854,81,9,0,125,4500,0,200,0,94.1
152,9177,9,6716,112,9,0,130,5900,100,700,-100,94.1
153,3351,3,4443,64,38,0,111,4200,0,200,0,62
154,9178,9,7994,123,16,0,183,7300,0,500,0,101.7
155,1,1,60509,1527,181,3,1452,55300,200,3700,0,50
156,3352,3,4485,168,12,0,92,4100,0,200,0,46.5
157,9180,9,3441,87,14,0,81,3200,0,200,0,91.6
158,2,2,73832,1519,206,2,1405,66200,300,6100,-100,76.1
159,9565,9,2075,104,5,0,28,1900,0,100,0,68.3
160,3353,3,6338,107,30,0,172,5900,0,300,0,67.6
161,9181,9,3940,65,9,0,85,3700,0,100,0,70.7
162,3,3,247016,5406,932,2,6670,227300,700,14300,200,83.4
163,9571,9,7939,171,0,0,176,7300,0,500,0,95.3
164,3354,3,793,24,12,0,59,700,0,100,0,121.9
165,9182,9,4227,77,15,0,137,3800,0,400,0,137
166,4,4,26106,461,89,0,676,22700,100,2900,0,99.2
167,9572,9,5159,124,11,0,103,4800,0,200,0,75
168,3355,3,3247,57,19,0,103,3000,0,200,0,55.9
169,9183,9,6771,150,18,1,145,6300,0,400,0,125.1
170,5,5,768194,15927,3144,13,23196,686500,2500,65800,600,129.2
171,9573,9,5057,202,8,0,127,4600,0,300,0,107.8
172,3356,3,2593,58,10,0,77,2400,0,100,0,67.6
173,9184,9,14749,287,24,0,259,12800,100,1700,0,73.9
